"","Taxon","leaf.area","source"
"635","Euroschinus falcatus",23.53,"Gallagher_field_workPHD"
"643","Euroschinus falcatus",23.87,"AUSTRAITS_dataset_49"
"788","Euroschinus falcatus",28.94,"Gallagher_field_workPHD"
"978","Euroschinus falcatus",40.42,"AUSTRAITS_dataset_39"
"447","Ficus coronata",17.5,"AUSTRAITS_dataset_68"
"464","Ficus coronata",18.375,"AUSTRAITS_dataset_49"
"698","Ficus coronata",25.41,"AUSTRAITS_dataset_68"
"699","Ficus coronata",25.412,"AUSTRAITS_dataset_8"
"712","Ficus coronata",25.85,"AUSTRAITS_dataset_68"
"713","Ficus coronata",25.852,"AUSTRAITS_dataset_28"
"729","Ficus coronata",26.29,"Gallagher_field_workPHD"
"931","Ficus coronata",36.716,"AUSTRAITS_dataset_8"
"932","Ficus coronata",36.72,"AUSTRAITS_dataset_68"
"993","Ficus coronata",41.718,"AUSTRAITS_dataset_28"
"1090","Ficus coronata",61.777,"AUSTRAITS_dataset_28"
"802","Ficus fraseri",29.925,"AUSTRAITS_dataset_49"
"805","Ficus fraseri",30,"AUSTRAITS_dataset_68"
"826","Ficus fraseri",31.232,"AUSTRAITS_dataset_28"
"917","Ficus fraseri",35.68,"AUSTRAITS_dataset_28"
"970","Ficus fraseri",39.952,"AUSTRAITS_dataset_28"
"1022","Ficus fraseri",45.28,"Gallagher_field_workPHD"
"1067","Ficus fraseri",52.133,"AUSTRAITS_dataset_28"
"429","Ficus obliqua",16.979,"AUSTRAITS_dataset_49"
"535","Ficus obliqua",20,"AUSTRAITS_dataset_68"
"582","Ficus obliqua",21.22,"Gallagher_field_workPHD"
"518","Ficus opposita",19.6,"AUSTRAITS_dataset_56"
"1032","Ficus opposita",46.638,"AUSTRAITS_dataset_49"
"1074","Ficus opposita",55.65,"AUSTRAITS_dataset_39"
"1099","ficus racemosa",65.468,"AUSTRAITS_dataset_29"
"1070","Ficus racemosa",52.5,"AUSTRAITS_dataset_49"
"1083","Ficus racemosa",60.9,"AUSTRAITS_dataset_56"
"1107","Ficus racemosa",72,"AUSTRAITS_dataset_68"
"1030","Ficus virens",46.288,"AUSTRAITS_dataset_49"
"1077","Ficus watkinsiana",58.33,"AUSTRAITS_dataset_68"
"1085","Ficus watkinsiana",61.25,"Gallagher_field_workPHD"
"1091","Ficus watkinsiana",63,"AUSTRAITS_dataset_49"
"348","Flagellaria indica",13.23,"AUSTRAITS_dataset_56"
"367","Flagellaria indica",14.38,"AUSTRAITS_dataset_68"
"369","Flagellaria indica",14.382,"AUSTRAITS_dataset_8"
"400","Flagellaria indica",16.119,"AUSTRAITS_dataset_8"
"401","Flagellaria indica",16.12,"AUSTRAITS_dataset_68"
"546","Flagellaria indica",20.53,"AUSTRAITS_dataset_68"
"564","Flagellaria indica",20.83,"AUSTRAITS_dataset_68"
"608","Flagellaria indica",22.54,"AUSTRAITS_dataset_68"
"683","Flagellaria indica",24.955,"AUSTRAITS_dataset_49"
"730","Flagellaria indica",26.4,"AUSTRAITS_dataset_68"
"798","Flagellaria indica",29.63,"AUSTRAITS_dataset_68"
"870","Flagellaria indica",33.16,"Gallagher_field_workPHD"
"956","Flagellaria indica",38.78,"AUSTRAITS_dataset_68"
"874","Flindersia schottiana",33.75,"AUSTRAITS_dataset_68"
"915","Flindersia schottiana",35.44,"Gallagher_field_workPHD"
"1075","Flindersia schottiana",55.878,"AUSTRAITS_dataset_49"
"33","Geitonoplesium cymosum",1.54,"Gallagher_field_workPHD"
"40","Geitonoplesium cymosum",2.209,"AUSTRAITS_dataset_8"
"41","Geitonoplesium cymosum",2.21,"AUSTRAITS_dataset_68"
"45","Geitonoplesium cymosum",2.55,"Gallagher_field_workPHD"
"52","Geitonoplesium cymosum",2.82,"AUSTRAITS_dataset_68"
"55","Geitonoplesium cymosum",3.02,"Gallagher_field_workPHD"
"77","Geitonoplesium cymosum",3.98,"AUSTRAITS_dataset_68"
"119","Geitonoplesium cymosum",5.6,"AUSTRAITS_dataset_68"
"125","Geitonoplesium cymosum",5.61,"AUSTRAITS_dataset_68"
"137","Geitonoplesium cymosum",6,"AUSTRAITS_dataset_68"
"139","Geitonoplesium cymosum",6.01,"AUSTRAITS_dataset_68"
"218","Geitonoplesium cymosum",9.04,"AUSTRAITS_dataset_68"
"219","Geitonoplesium cymosum",9.041,"AUSTRAITS_dataset_8"
"227","Geitonoplesium cymosum",9.713,"AUSTRAITS_dataset_49"
"240","Geitonoplesium cymosum",9.8,"AUSTRAITS_dataset_68"
"305","Geitonoplesium cymosum",11.51,"AUSTRAITS_dataset_68"
"326","Glochidion ferdinandi",12.513,"AUSTRAITS_dataset_49"
"412","Glochidion ferdinandi",18.402,"AUSTRAITS_dataset_52"
"448","Glochidion ferdinandi",10.7,"AUSTRAITS_dataset_10"
